nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2013;Tahun;11954;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2013;Tahun;287134;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2013;Tahun;376942;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2013;Tahun;74162;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2013;Tahun;1556926;"Kalimantan Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;120250;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;68282;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;332339;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;140461;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;93935;Berau
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;72518;"Penajam Paser Utara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;12127;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;292463;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;385010;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;75974;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2014;Tahun;1593359;"Kalimantan Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;123082;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;68828;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;340719;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;146529;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;96596;Berau
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;73626;"Penajam Paser Utara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;12115;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;297586;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;392456;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;77804;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2015;Tahun;1629341;"Kalimantan Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;125884;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;69014;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;349022;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;152828;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;99307;Berau
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;74438;"Penajam Paser Utara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;12153;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;302574;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;400148;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;79571;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2016;Tahun;1664939;"Kalimantan Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;128776;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;69410;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;357215;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;159170;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;102020;Berau
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;75280;"Penajam Paser Utara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;12315;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;307630;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;407497;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;81331;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2017;Tahun;1700644;"Kalimantan Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;131571;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;69600;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;365512;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;165683;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;104789;Berau
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;76105;"Penajam Paser Utara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;12330;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;312380;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;414701;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;83185;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2018;Tahun;1735856;"Kalimantan Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;134361;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;69934;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;373593;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;172525;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;107480;Berau
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;76894;"Penajam Paser Utara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;12264;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;316976;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;421669;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;84810;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2019;Tahun;1770506;"Kalimantan Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;137075;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;69997;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;381735;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;179307;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;110322;Berau
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;77645;"Penajam Paser Utara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;12362;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;321515;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;428732;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;86413;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2020;Tahun;1805103;"Kalimantan Timur"
